,Traffic
2019-03-16 00:00:00,22.0
2019-03-16 00:15:00,25705.0
2019-03-16 00:30:00,46444.0
2019-03-16 00:45:00,46487.0
2019-03-16 01:00:00,44388.0
2019-03-16 01:15:00,51867.0
2019-03-16 01:30:00,45985.0
2019-03-16 01:45:00,45991.0
2019-03-16 02:00:00,36588.0
2019-03-16 02:15:00,0.0
2019-03-16 02:30:00,11.0
2019-03-16 02:45:00,52.0
2019-03-16 03:00:00,416.0
2019-03-16 03:15:00,51.0
2019-03-16 03:30:00,962.0
2019-03-16 03:45:00,3018.0
2019-03-16 04:00:00,3032.0
2019-03-16 04:15:00,1637.0
2019-03-16 04:30:00,10.0
2019-03-16 04:45:00,0.0
2019-03-16 05:00:00,0.0
2019-03-16 05:15:00,355.0
2019-03-16 05:30:00,32.0
2019-03-16 05:45:00,1560.0
2019-03-16 06:00:00,1893.0
2019-03-16 06:15:00,65.0
2019-03-16 06:30:00,34.0
2019-03-16 06:45:00,144.0
2019-03-16 07:00:00,160.0
2019-03-16 07:15:00,137.0
2019-03-16 07:30:00,114.0
2019-03-16 07:45:00,175.0
2019-03-16 08:00:00,34.0
2019-03-16 08:15:00,142.0
2019-03-16 08:30:00,191.0
2019-03-16 08:45:00,1896.0
2019-03-16 09:00:00,0.0
2019-03-16 09:15:00,0.0
2019-03-16 09:30:00,28.0
2019-03-16 09:45:00,29.0
2019-03-16 10:00:00,666.0
2019-03-16 10:15:00,21.0
2019-03-16 10:30:00,0.0
2019-03-16 10:45:00,41.0
2019-03-16 11:00:00,27.0
2019-03-16 11:15:00,531.0
2019-03-16 11:30:00,3631.0
2019-03-16 11:45:00,3398.0
2019-03-16 12:00:00,1060.0
2019-03-16 12:15:00,207.0
2019-03-16 12:30:00,211.0
2019-03-16 12:45:00,203.0
2019-03-16 13:00:00,221.0
2019-03-16 13:15:00,235.0
2019-03-16 13:30:00,260.0
2019-03-16 13:45:00,58.0
2019-03-16 14:00:00,11.0
2019-03-16 14:15:00,53.0
2019-03-16 14:30:00,48.0
2019-03-16 14:45:00,60.0
2019-03-16 15:00:00,1079.0
2019-03-16 15:15:00,877.0
2019-03-16 15:30:00,857.0
2019-03-16 15:45:00,555.0
2019-03-16 16:00:00,183.0
2019-03-16 16:15:00,165.0
2019-03-16 16:30:00,214.0
2019-03-16 16:45:00,300.0
2019-03-16 17:00:00,416.0
2019-03-16 17:15:00,559.0
2019-03-16 17:30:00,145.0
2019-03-16 17:45:00,34.0
2019-03-16 18:00:00,363.0
2019-03-16 18:15:00,516.0
2019-03-16 18:30:00,370.0
2019-03-16 18:45:00,271.0
2019-03-16 19:00:00,6357.0
2019-03-16 19:15:00,497.0
2019-03-16 19:30:00,160.0
2019-03-16 19:45:00,261.0
2019-03-16 20:00:00,427.0
2019-03-16 20:15:00,1489.0
2019-03-16 20:30:00,375.0
2019-03-16 20:45:00,0.0
2019-03-16 21:00:00,0.0
2019-03-16 21:15:00,2.0
2019-03-16 21:30:00,1.0
2019-03-16 21:45:00,0.0
2019-03-16 22:00:00,621.0
2019-03-16 22:15:00,7545.0
2019-03-16 22:30:00,13715.0
2019-03-16 22:45:00,5766.0
2019-03-16 23:00:00,53.0
2019-03-16 23:15:00,101.0
2019-03-16 23:30:00,1202.0
2019-03-16 23:45:00,48.0
2019-03-17 00:00:00,1001.0
2019-03-17 00:15:00,627.0
2019-03-17 00:30:00,1.0
2019-03-17 00:45:00,260.0
2019-03-17 01:00:00,349.0
2019-03-17 01:15:00,73.0
