,Traffic
2019-03-16 00:00:00,9808.0
2019-03-16 00:15:00,823.0
2019-03-16 00:30:00,43971.0
2019-03-16 00:45:00,1057.0
2019-03-16 01:00:00,195.0
2019-03-16 01:15:00,445.0
2019-03-16 01:30:00,187.0
2019-03-16 01:45:00,261.0
2019-03-16 02:00:00,24.0
2019-03-16 02:15:00,10.0
2019-03-16 02:30:00,1.0
2019-03-16 02:45:00,6.0
2019-03-16 03:00:00,6.0
2019-03-16 03:15:00,0.0
2019-03-16 03:30:00,20.0
2019-03-16 03:45:00,41.0
2019-03-16 04:00:00,547.0
2019-03-16 04:15:00,10.0
2019-03-16 04:30:00,3.0
2019-03-16 04:45:00,3.0
2019-03-16 05:00:00,2.0
2019-03-16 05:15:00,0.0
2019-03-16 05:30:00,10.0
2019-03-16 05:45:00,20.0
2019-03-16 06:00:00,12.0
2019-03-16 06:15:00,17.0
2019-03-16 06:30:00,24547.0
2019-03-16 06:45:00,44.0
2019-03-16 07:00:00,10.0
2019-03-16 07:15:00,10.0
2019-03-16 07:30:00,65.0
2019-03-16 07:45:00,186.0
2019-03-16 08:00:00,2529.0
2019-03-16 08:15:00,674.0
2019-03-16 08:30:00,431.0
2019-03-16 08:45:00,419.0
2019-03-16 09:00:00,3766.0
2019-03-16 09:15:00,776.0
2019-03-16 09:30:00,1408.0
2019-03-16 09:45:00,535.0
2019-03-16 10:00:00,527.0
2019-03-16 10:15:00,19702.0
2019-03-16 10:30:00,3393.0
2019-03-16 10:45:00,1324.0
2019-03-16 11:00:00,553.0
2019-03-16 11:15:00,63292.0
2019-03-16 11:30:00,2967.0
2019-03-16 11:45:00,165.0
2019-03-16 12:00:00,771.0
2019-03-16 12:15:00,433.0
2019-03-16 12:30:00,470.0
2019-03-16 12:45:00,411.0
2019-03-16 13:00:00,94.0
2019-03-16 13:15:00,47437.0
2019-03-16 13:30:00,15586.0
2019-03-16 13:45:00,6541.0
2019-03-16 14:00:00,1344.0
2019-03-16 14:15:00,1635.0
2019-03-16 14:30:00,3105.0
2019-03-16 14:45:00,3209.0
2019-03-16 15:00:00,1681.0
2019-03-16 15:15:00,196.0
2019-03-16 15:30:00,645.0
2019-03-16 15:45:00,4573.0
2019-03-16 16:00:00,3430.0
2019-03-16 16:15:00,1137.0
2019-03-16 16:30:00,756.0
2019-03-16 16:45:00,279.0
2019-03-16 17:00:00,531.0
2019-03-16 17:15:00,38081.0
2019-03-16 17:30:00,28024.0
2019-03-16 17:45:00,3654.0
2019-03-16 18:00:00,692.0
2019-03-16 18:15:00,5554.0
2019-03-16 18:30:00,545.0
2019-03-16 18:45:00,905.0
2019-03-16 19:00:00,1835.0
2019-03-16 19:15:00,1753.0
2019-03-16 19:30:00,936.0
2019-03-16 19:45:00,1640.0
2019-03-16 20:00:00,1671.0
2019-03-16 20:15:00,5627.0
2019-03-16 20:30:00,1073.0
2019-03-16 20:45:00,701.0
2019-03-16 21:00:00,14960.0
2019-03-16 21:15:00,493.0
2019-03-16 21:30:00,719.0
2019-03-16 21:45:00,6163.0
2019-03-16 22:00:00,654.0
2019-03-16 22:15:00,2436.0
2019-03-16 22:30:00,265.0
2019-03-16 22:45:00,215.0
2019-03-16 23:00:00,105.0
2019-03-16 23:15:00,4555.0
2019-03-16 23:30:00,429.0
2019-03-16 23:45:00,2509.0
2019-03-17 00:00:00,49.0
2019-03-17 00:15:00,3416.0
2019-03-17 00:30:00,155.0
2019-03-17 00:45:00,470.0
2019-03-17 01:00:00,164.0
2019-03-17 01:15:00,88.0
2019-03-17 01:30:00,859.0
2019-03-17 01:45:00,239.0
2019-03-17 02:00:00,3308.0
2019-03-17 02:15:00,3621.0
2019-03-17 02:30:00,2.0
2019-03-17 02:45:00,118.0
2019-03-17 03:00:00,100.0
2019-03-17 03:15:00,0.0
2019-03-17 03:30:00,8.0
2019-03-17 03:45:00,472.0
2019-03-17 04:00:00,51.0
2019-03-17 04:15:00,0.0
2019-03-17 04:30:00,9.0
2019-03-17 04:45:00,47.0
2019-03-17 05:00:00,86.0
2019-03-17 05:15:00,0.0
2019-03-17 05:30:00,4.0
2019-03-17 05:45:00,6.0
2019-03-17 06:00:00,82.0
2019-03-17 06:15:00,42.0
2019-03-17 06:30:00,0.0
2019-03-17 06:45:00,86.0
2019-03-17 07:00:00,506.0
2019-03-17 07:15:00,2466.0
2019-03-17 07:30:00,20.0
2019-03-17 07:45:00,421.0
2019-03-17 08:00:00,46.0
2019-03-17 08:15:00,4439.0
2019-03-17 08:30:00,1844.0
2019-03-17 08:45:00,7346.0
2019-03-17 09:00:00,2328.0
2019-03-17 09:15:00,1877.0
2019-03-17 09:30:00,345.0
2019-03-17 09:45:00,1851.0
2019-03-17 10:00:00,113.0
2019-03-17 10:15:00,442.0
2019-03-17 10:30:00,968.0
2019-03-17 10:45:00,305.0
2019-03-17 11:00:00,4661.0
2019-03-17 11:15:00,3743.0
2019-03-17 11:30:00,6425.0
2019-03-17 11:45:00,523.0
2019-03-17 12:00:00,1562.0
2019-03-17 12:15:00,397.0
2019-03-17 12:30:00,4900.0
2019-03-17 12:45:00,2867.0
2019-03-17 13:00:00,6373.0
2019-03-17 13:15:00,429.0
2019-03-17 13:30:00,591.0
2019-03-17 13:45:00,932.0
2019-03-17 14:00:00,282.0
2019-03-17 14:15:00,794.0
2019-03-17 14:30:00,10553.0
2019-03-17 14:45:00,1086.0
2019-03-17 15:00:00,3622.0
2019-03-17 15:15:00,1210.0
2019-03-17 15:30:00,697.0
2019-03-17 15:45:00,4948.0
2019-03-17 16:00:00,4860.0
2019-03-17 16:15:00,2722.0
2019-03-17 16:30:00,418.0
2019-03-17 16:45:00,156.0
2019-03-17 17:00:00,1849.0
2019-03-17 17:15:00,2361.0
2019-03-17 17:30:00,814.0
2019-03-17 17:45:00,1059.0
2019-03-17 18:00:00,3006.0
2019-03-17 18:15:00,4658.0
2019-03-17 18:30:00,25561.0
2019-03-17 18:45:00,252.0
2019-03-17 19:00:00,3060.0
2019-03-17 19:15:00,325.0
2019-03-17 19:30:00,3526.0
2019-03-17 19:45:00,17563.0
2019-03-17 20:00:00,1888.0
2019-03-17 20:15:00,260.0
2019-03-17 20:30:00,1083.0
2019-03-17 20:45:00,733.0
2019-03-17 21:00:00,305.0
2019-03-17 21:15:00,847.0
2019-03-17 21:30:00,10597.0
2019-03-17 21:45:00,5027.0
2019-03-17 22:00:00,285.0
2019-03-17 22:15:00,1375.0
2019-03-17 22:30:00,1115.0
2019-03-17 22:45:00,156.0
2019-03-17 23:00:00,3040.0
2019-03-17 23:15:00,1867.0
2019-03-17 23:30:00,374.0
2019-03-17 23:45:00,805.0
2019-03-18 00:00:00,2200.0
2019-03-18 00:15:00,220.0
2019-03-18 00:30:00,78.0
2019-03-18 00:45:00,2.0
2019-03-18 01:00:00,12.0
2019-03-18 01:15:00,172.0
2019-03-18 01:30:00,611.0
2019-03-18 01:45:00,170.0
2019-03-18 02:00:00,92.0
2019-03-18 02:15:00,0.0
2019-03-18 02:30:00,0.0
2019-03-18 02:45:00,0.0
2019-03-18 03:00:00,31.0
2019-03-18 03:15:00,0.0
2019-03-18 03:30:00,0.0
2019-03-18 03:45:00,0.0
2019-03-18 04:00:00,0.0
2019-03-18 04:15:00,0.0
2019-03-18 04:30:00,13893.0
2019-03-18 04:45:00,15060.0
2019-03-18 05:00:00,0.0
2019-03-18 05:15:00,0.0
2019-03-18 05:30:00,1.0
2019-03-18 05:45:00,709.0
2019-03-18 06:00:00,24.0
2019-03-18 06:15:00,133.0
2019-03-18 06:30:00,188.0
2019-03-18 06:45:00,561.0
2019-03-18 07:00:00,957.0
2019-03-18 07:15:00,11409.0
2019-03-18 07:30:00,4524.0
2019-03-18 07:45:00,4653.0
2019-03-18 08:00:00,2253.0
2019-03-18 08:15:00,1866.0
2019-03-18 08:30:00,7890.0
2019-03-18 08:45:00,979.0
2019-03-18 09:00:00,2559.0
2019-03-18 09:15:00,3288.0
2019-03-18 09:30:00,5714.0
2019-03-18 09:45:00,1256.0
2019-03-18 10:00:00,2525.0
2019-03-18 10:15:00,50551.0
2019-03-18 10:30:00,12991.0
2019-03-18 10:45:00,1273.0
2019-03-18 11:00:00,1402.0
2019-03-18 11:15:00,916.0
2019-03-18 11:30:00,1461.0
2019-03-18 11:45:00,694.0
2019-03-18 12:00:00,3005.0
2019-03-18 12:15:00,2278.0
2019-03-18 12:30:00,3467.0
2019-03-18 12:45:00,252.0
2019-03-18 13:00:00,714.0
2019-03-18 13:15:00,2691.0
2019-03-18 13:30:00,1202.0
2019-03-18 13:45:00,2566.0
2019-03-18 14:00:00,1546.0
2019-03-18 14:15:00,285.0
2019-03-18 14:30:00,3856.0
2019-03-18 14:45:00,4403.0
2019-03-18 15:00:00,11790.0
2019-03-18 15:15:00,126.0
2019-03-18 15:30:00,447.0
2019-03-18 15:45:00,1016.0
2019-03-18 16:00:00,2094.0
2019-03-18 16:15:00,705.0
2019-03-18 16:30:00,1466.0
2019-03-18 16:45:00,703.0
2019-03-18 17:00:00,7768.0
2019-03-18 17:15:00,1411.0
2019-03-18 17:30:00,5980.0
2019-03-18 17:45:00,1041.0
2019-03-18 18:00:00,631.0
2019-03-18 18:15:00,283.0
2019-03-18 18:30:00,2347.0
2019-03-18 18:45:00,613.0
2019-03-18 19:00:00,1270.0
2019-03-18 19:15:00,9535.0
2019-03-18 19:30:00,26660.0
2019-03-18 19:45:00,54655.0
2019-03-18 20:00:00,2246.0
2019-03-18 20:15:00,1490.0
2019-03-18 20:30:00,2220.0
2019-03-18 20:45:00,4605.0
2019-03-18 21:00:00,3480.0
2019-03-18 21:15:00,16601.0
2019-03-18 21:30:00,495.0
2019-03-18 21:45:00,615.0
2019-03-18 22:00:00,45364.0
2019-03-18 22:15:00,2097.0
2019-03-18 22:30:00,3763.0
2019-03-18 22:45:00,1254.0
2019-03-18 23:00:00,494.0
2019-03-18 23:15:00,2474.0
2019-03-18 23:30:00,4415.0
2019-03-18 23:45:00,328.0
2019-03-19 00:00:00,450.0
2019-03-19 00:15:00,303.0
2019-03-19 00:30:00,25.0
2019-03-19 00:45:00,365.0
2019-03-19 01:00:00,61.0
2019-03-19 01:15:00,405.0
2019-03-19 01:30:00,15.0
