,Traffic
2019-03-16 00:00:00,1.0
2019-03-16 00:15:00,46022.0
2019-03-16 00:30:00,56659.0
2019-03-16 00:45:00,39598.0
2019-03-16 01:00:00,2915.0
2019-03-16 01:15:00,0.0
2019-03-16 01:30:00,0.0
2019-03-16 01:45:00,249.0
2019-03-16 02:00:00,172.0
2019-03-16 02:15:00,0.0
2019-03-16 02:30:00,0.0
2019-03-16 02:45:00,3.0
2019-03-16 03:00:00,15.0
2019-03-16 03:15:00,8.0
2019-03-16 03:30:00,8.0
2019-03-16 03:45:00,1.0
2019-03-16 04:00:00,0.0
2019-03-16 04:15:00,0.0
2019-03-16 04:30:00,0.0
2019-03-16 04:45:00,0.0
2019-03-16 05:00:00,0.0
2019-03-16 05:15:00,0.0
2019-03-16 05:30:00,0.0
2019-03-16 05:45:00,0.0
2019-03-16 06:00:00,0.0
2019-03-16 06:15:00,0.0
2019-03-16 06:30:00,0.0
2019-03-16 06:45:00,0.0
2019-03-16 07:00:00,0.0
2019-03-16 07:15:00,0.0
2019-03-16 07:30:00,0.0
2019-03-16 07:45:00,0.0
2019-03-16 08:00:00,3145.0
2019-03-16 08:15:00,0.0
2019-03-16 08:30:00,35.0
2019-03-16 08:45:00,46.0
2019-03-16 09:00:00,46.0
2019-03-16 09:15:00,212.0
2019-03-16 09:30:00,772.0
2019-03-16 09:45:00,241.0
2019-03-16 10:00:00,50.0
2019-03-16 10:15:00,44.0
2019-03-16 10:30:00,101.0
2019-03-16 10:45:00,51.0
2019-03-16 11:00:00,73.0
2019-03-16 11:15:00,6716.0
2019-03-16 11:30:00,573.0
2019-03-16 11:45:00,72.0
2019-03-16 12:00:00,9.0
2019-03-16 12:15:00,831.0
2019-03-16 12:30:00,100.0
2019-03-16 12:45:00,222.0
2019-03-16 13:00:00,43.0
2019-03-16 13:15:00,37.0
2019-03-16 13:30:00,124.0
2019-03-16 13:45:00,887.0
2019-03-16 14:00:00,9097.0
2019-03-16 14:15:00,8321.0
2019-03-16 14:30:00,14053.0
2019-03-16 14:45:00,22737.0
2019-03-16 15:00:00,23070.0
2019-03-16 15:15:00,30318.0
2019-03-16 15:30:00,15004.0
2019-03-16 15:45:00,16262.0
2019-03-16 16:00:00,4570.0
2019-03-16 16:15:00,4563.0
2019-03-16 16:30:00,50376.0
2019-03-16 16:45:00,2033.0
2019-03-16 17:00:00,603.0
2019-03-16 17:15:00,1636.0
2019-03-16 17:30:00,14123.0
2019-03-16 17:45:00,52.0
2019-03-16 18:00:00,50.0
2019-03-16 18:15:00,123.0
2019-03-16 18:30:00,1653.0
2019-03-16 18:45:00,351.0
2019-03-16 19:00:00,284.0
2019-03-16 19:15:00,265.0
2019-03-16 19:30:00,30.0
2019-03-16 19:45:00,1874.0
2019-03-16 20:00:00,47.0
2019-03-16 20:15:00,60.0
2019-03-16 20:30:00,68.0
2019-03-16 20:45:00,116.0
2019-03-16 21:00:00,186.0
2019-03-16 21:15:00,291.0
2019-03-16 21:30:00,2003.0
2019-03-16 21:45:00,6165.0
2019-03-16 22:00:00,1100.0
2019-03-16 22:15:00,5467.0
2019-03-16 22:30:00,3563.0
2019-03-16 22:45:00,3768.0
2019-03-16 23:00:00,5302.0
2019-03-16 23:15:00,2423.0
2019-03-16 23:30:00,36.0
2019-03-16 23:45:00,30.0
2019-03-17 00:00:00,139.0
2019-03-17 00:15:00,55.0
2019-03-17 00:30:00,54.0
2019-03-17 00:45:00,12.0
2019-03-17 01:00:00,1.0
2019-03-17 01:15:00,6.0
2019-03-17 01:30:00,9.0
2019-03-17 01:45:00,40.0
2019-03-17 02:00:00,0.0
2019-03-17 02:15:00,0.0
2019-03-17 02:30:00,166.0
2019-03-17 02:45:00,776.0
2019-03-17 03:00:00,3.0
2019-03-17 03:15:00,0.0
2019-03-17 03:30:00,0.0
2019-03-17 03:45:00,0.0
2019-03-17 04:00:00,0.0
2019-03-17 04:15:00,0.0
2019-03-17 04:30:00,0.0
2019-03-17 04:45:00,0.0
2019-03-17 05:00:00,0.0
2019-03-17 05:15:00,0.0
2019-03-17 05:30:00,0.0
2019-03-17 05:45:00,23.0
2019-03-17 06:00:00,54.0
2019-03-17 06:15:00,20.0
2019-03-17 06:30:00,0.0
2019-03-17 06:45:00,0.0
2019-03-17 07:00:00,0.0
2019-03-17 07:15:00,6.0
2019-03-17 07:30:00,0.0
2019-03-17 07:45:00,62.0
2019-03-17 08:00:00,103.0
2019-03-17 08:15:00,65.0
2019-03-17 08:30:00,120.0
2019-03-17 08:45:00,85.0
2019-03-17 09:00:00,48.0
2019-03-17 09:15:00,48.0
2019-03-17 09:30:00,48.0
2019-03-17 09:45:00,48.0
2019-03-17 10:00:00,50.0
2019-03-17 10:15:00,59.0
2019-03-17 10:30:00,27.0
2019-03-17 10:45:00,17.0
2019-03-17 11:00:00,45.0
2019-03-17 11:15:00,3574.0
2019-03-17 11:30:00,1462.0
2019-03-17 11:45:00,77.0
2019-03-17 12:00:00,23.0
2019-03-17 12:15:00,132.0
2019-03-17 12:30:00,53.0
2019-03-17 12:45:00,58.0
2019-03-17 13:00:00,79.0
2019-03-17 13:15:00,64.0
2019-03-17 13:30:00,77.0
2019-03-17 13:45:00,67.0
2019-03-17 14:00:00,67.0
2019-03-17 14:15:00,18.0
2019-03-17 14:30:00,44.0
2019-03-17 14:45:00,353.0
2019-03-17 15:00:00,788.0
2019-03-17 15:15:00,67.0
2019-03-17 15:30:00,60.0
2019-03-17 15:45:00,421.0
2019-03-17 16:00:00,151.0
2019-03-17 16:15:00,78.0
2019-03-17 16:30:00,28.0
2019-03-17 16:45:00,397.0
2019-03-17 17:00:00,15.0
2019-03-17 17:15:00,31.0
2019-03-17 17:30:00,28.0
2019-03-17 17:45:00,23.0
2019-03-17 18:00:00,71.0
2019-03-17 18:15:00,54.0
2019-03-17 18:30:00,45.0
2019-03-17 18:45:00,21.0
2019-03-17 19:00:00,195.0
2019-03-17 19:15:00,307.0
2019-03-17 19:30:00,189.0
2019-03-17 19:45:00,82.0
2019-03-17 20:00:00,48.0
2019-03-17 20:15:00,75.0
2019-03-17 20:30:00,366.0
2019-03-17 20:45:00,1283.0
2019-03-17 21:00:00,164.0
2019-03-17 21:15:00,378.0
2019-03-17 21:30:00,819.0
2019-03-17 21:45:00,2977.0
2019-03-17 22:00:00,282.0
2019-03-17 22:15:00,1355.0
2019-03-17 22:30:00,1040.0
2019-03-17 22:45:00,1118.0
2019-03-17 23:00:00,64.0
2019-03-17 23:15:00,104.0
2019-03-17 23:30:00,2.0
2019-03-17 23:45:00,1.0
2019-03-18 00:00:00,2432.0
2019-03-18 00:15:00,4911.0
2019-03-18 00:30:00,4911.0
2019-03-18 00:45:00,4911.0
2019-03-18 01:00:00,4912.0
2019-03-18 01:15:00,4920.0
2019-03-18 01:30:00,4913.0
2019-03-18 01:45:00,4911.0
2019-03-18 02:00:00,890.0
2019-03-18 02:15:00,0.0
2019-03-18 02:30:00,373.0
2019-03-18 02:45:00,2408.0
2019-03-18 03:00:00,2530.0
2019-03-18 03:15:00,2807.0
2019-03-18 03:30:00,8.0
2019-03-18 03:45:00,0.0
2019-03-18 04:00:00,0.0
2019-03-18 04:15:00,0.0
2019-03-18 04:30:00,0.0
2019-03-18 04:45:00,0.0
2019-03-18 05:00:00,0.0
2019-03-18 05:15:00,0.0
2019-03-18 05:30:00,0.0
2019-03-18 05:45:00,27.0
2019-03-18 06:00:00,202.0
2019-03-18 06:15:00,0.0
2019-03-18 06:30:00,5738.0
2019-03-18 06:45:00,0.0
2019-03-18 07:00:00,56.0
2019-03-18 07:15:00,333.0
2019-03-18 07:30:00,587.0
2019-03-18 07:45:00,4685.0
2019-03-18 08:00:00,17402.0
2019-03-18 08:15:00,21909.0
2019-03-18 08:30:00,21845.0
2019-03-18 08:45:00,15468.0
2019-03-18 09:00:00,13461.0
2019-03-18 09:15:00,1133.0
2019-03-18 09:30:00,0.0
2019-03-18 09:45:00,0.0
2019-03-18 10:00:00,1.0
2019-03-18 10:15:00,18.0
2019-03-18 10:30:00,0.0
2019-03-18 10:45:00,21.0
2019-03-18 11:00:00,51.0
2019-03-18 11:15:00,0.0
2019-03-18 11:30:00,48.0
2019-03-18 11:45:00,40.0
2019-03-18 12:00:00,104.0
2019-03-18 12:15:00,130.0
2019-03-18 12:30:00,185.0
2019-03-18 12:45:00,11696.0
2019-03-18 13:00:00,5784.0
2019-03-18 13:15:00,11531.0
2019-03-18 13:30:00,7654.0
2019-03-18 13:45:00,647.0
2019-03-18 14:00:00,0.0
2019-03-18 14:15:00,0.0
2019-03-18 14:30:00,69.0
2019-03-18 14:45:00,54.0
2019-03-18 15:00:00,15.0
2019-03-18 15:15:00,194.0
2019-03-18 15:30:00,26.0
2019-03-18 15:45:00,3.0
2019-03-18 16:00:00,29.0
2019-03-18 16:15:00,25.0
2019-03-18 16:30:00,0.0
2019-03-18 16:45:00,0.0
2019-03-18 17:00:00,196.0
2019-03-18 17:15:00,271.0
2019-03-18 17:30:00,112.0
2019-03-18 17:45:00,45.0
2019-03-18 18:00:00,63.0
2019-03-18 18:15:00,808.0
2019-03-18 18:30:00,580.0
2019-03-18 18:45:00,553.0
2019-03-18 19:00:00,237.0
2019-03-18 19:15:00,15404.0
2019-03-18 19:30:00,167.0
2019-03-18 19:45:00,4254.0
2019-03-18 20:00:00,846.0
2019-03-18 20:15:00,7827.0
2019-03-18 20:30:00,9842.0
2019-03-18 20:45:00,2945.0
2019-03-18 21:00:00,303.0
2019-03-18 21:15:00,2318.0
2019-03-18 21:30:00,3611.0
2019-03-18 21:45:00,2504.0
2019-03-18 22:00:00,1681.0
2019-03-18 22:15:00,3617.0
2019-03-18 22:30:00,3618.0
2019-03-18 22:45:00,3051.0
2019-03-18 23:00:00,257.0
2019-03-18 23:15:00,0.0
2019-03-18 23:30:00,124.0
2019-03-18 23:45:00,127.0
2019-03-19 00:00:00,53.0
2019-03-19 00:15:00,114.0
2019-03-19 00:30:00,274.0
2019-03-19 00:45:00,127.0
2019-03-19 01:00:00,77.0
2019-03-19 01:15:00,176.0
2019-03-19 01:30:00,4.0
2019-03-19 01:45:00,0.0
