,Traffic
2019-03-16 00:00:00,2996.0
2019-03-16 00:15:00,3061.0
2019-03-16 00:30:00,1865.0
2019-03-16 00:45:00,3254.0
2019-03-16 01:00:00,2899.0
2019-03-16 01:15:00,1309.0
2019-03-16 01:30:00,2488.0
2019-03-16 01:45:00,3675.0
2019-03-16 02:00:00,1247.0
2019-03-16 02:15:00,4728.0
2019-03-16 02:30:00,8386.0
2019-03-16 02:45:00,2758.0
2019-03-16 03:00:00,2473.0
2019-03-16 03:15:00,1541.0
2019-03-16 03:30:00,142.0
2019-03-16 03:45:00,181.0
2019-03-16 04:00:00,8877.0
2019-03-16 04:15:00,6362.0
2019-03-16 04:30:00,594.0
2019-03-16 04:45:00,12109.0
2019-03-16 05:00:00,1512.0
2019-03-16 05:15:00,149.0
2019-03-16 05:30:00,891.0
2019-03-16 05:45:00,270.0
2019-03-16 06:00:00,1674.0
2019-03-16 06:15:00,479.0
2019-03-16 06:30:00,41.0
2019-03-16 06:45:00,733.0
2019-03-16 07:00:00,216.0
2019-03-16 07:15:00,2514.0
2019-03-16 07:30:00,428.0
2019-03-16 07:45:00,7351.0
2019-03-16 08:00:00,11813.0
2019-03-16 08:15:00,5079.0
2019-03-16 08:30:00,8248.0
2019-03-16 08:45:00,4505.0
2019-03-16 09:00:00,9173.0
2019-03-16 09:15:00,3480.0
2019-03-16 09:30:00,5292.0
2019-03-16 09:45:00,8177.0
2019-03-16 10:00:00,12594.0
2019-03-16 10:15:00,8524.0
2019-03-16 10:30:00,6105.0
2019-03-16 10:45:00,11894.0
2019-03-16 11:00:00,4021.0
2019-03-16 11:15:00,7169.0
2019-03-16 11:30:00,3266.0
2019-03-16 11:45:00,25370.0
2019-03-16 12:00:00,16708.0
2019-03-16 12:15:00,5615.0
2019-03-16 12:30:00,1976.0
2019-03-16 12:45:00,4736.0
2019-03-16 13:00:00,7898.0
2019-03-16 13:15:00,2944.0
2019-03-16 13:30:00,3574.0
2019-03-16 13:45:00,11590.0
2019-03-16 14:00:00,21829.0
2019-03-16 14:15:00,14369.0
2019-03-16 14:30:00,19079.0
2019-03-16 14:45:00,14188.0
2019-03-16 15:00:00,9177.0
2019-03-16 15:15:00,10558.0
2019-03-16 15:30:00,9366.0
2019-03-16 15:45:00,13463.0
2019-03-16 16:00:00,7496.0
2019-03-16 16:15:00,9618.0
2019-03-16 16:30:00,9138.0
2019-03-16 16:45:00,9964.0
2019-03-16 17:00:00,19739.0
2019-03-16 17:15:00,12284.0
2019-03-16 17:30:00,29099.0
2019-03-16 17:45:00,5896.0
2019-03-16 18:00:00,15248.0
2019-03-16 18:15:00,16142.0
2019-03-16 18:30:00,10140.0
2019-03-16 18:45:00,25775.0
2019-03-16 19:00:00,8672.0
2019-03-16 19:15:00,4581.0
2019-03-16 19:30:00,9803.0
2019-03-16 19:45:00,5813.0
2019-03-16 20:00:00,5542.0
2019-03-16 20:15:00,14562.0
2019-03-16 20:30:00,22543.0
2019-03-16 20:45:00,23798.0
2019-03-16 21:00:00,11781.0
2019-03-16 21:15:00,4551.0
2019-03-16 21:30:00,3827.0
2019-03-16 21:45:00,4847.0
2019-03-16 22:00:00,6718.0
2019-03-16 22:15:00,4137.0
2019-03-16 22:30:00,4413.0
2019-03-16 22:45:00,5100.0
2019-03-16 23:00:00,9364.0
2019-03-16 23:15:00,6762.0
2019-03-16 23:30:00,15233.0
2019-03-16 23:45:00,10518.0
2019-03-17 00:00:00,8811.0
2019-03-17 00:15:00,17400.0
2019-03-17 00:30:00,9117.0
2019-03-17 00:45:00,9693.0
2019-03-17 01:00:00,3287.0
2019-03-17 01:15:00,2313.0
2019-03-17 01:30:00,3006.0
2019-03-17 01:45:00,2427.0
2019-03-17 02:00:00,3046.0
2019-03-17 02:15:00,5915.0
2019-03-17 02:30:00,5628.0
2019-03-17 02:45:00,5676.0
2019-03-17 03:00:00,5546.0
2019-03-17 03:15:00,662.0
2019-03-17 03:30:00,754.0
2019-03-17 03:45:00,22502.0
2019-03-17 04:00:00,4588.0
2019-03-17 04:15:00,7786.0
2019-03-17 04:30:00,584.0
2019-03-17 04:45:00,890.0
2019-03-17 05:00:00,260.0
2019-03-17 05:15:00,192.0
2019-03-17 05:30:00,49.0
2019-03-17 05:45:00,278.0
2019-03-17 06:00:00,162.0
2019-03-17 06:15:00,666.0
2019-03-17 06:30:00,5237.0
2019-03-17 06:45:00,2948.0
2019-03-17 07:00:00,1282.0
2019-03-17 07:15:00,312.0
2019-03-17 07:30:00,6382.0
2019-03-17 07:45:00,1179.0
2019-03-17 08:00:00,594.0
2019-03-17 08:15:00,1201.0
2019-03-17 08:30:00,5709.0
2019-03-17 08:45:00,7297.0
2019-03-17 09:00:00,5264.0
2019-03-17 09:15:00,14915.0
2019-03-17 09:30:00,6063.0
2019-03-17 09:45:00,5188.0
2019-03-17 10:00:00,9281.0
2019-03-17 10:15:00,3681.0
2019-03-17 10:30:00,2747.0
2019-03-17 10:45:00,3848.0
2019-03-17 11:00:00,3209.0
2019-03-17 11:15:00,3833.0
2019-03-17 11:30:00,6796.0
2019-03-17 11:45:00,16349.0
2019-03-17 12:00:00,4421.0
2019-03-17 12:15:00,14055.0
2019-03-17 12:30:00,6870.0
2019-03-17 12:45:00,7063.0
2019-03-17 13:00:00,8655.0
2019-03-17 13:15:00,9842.0
2019-03-17 13:30:00,10905.0
2019-03-17 13:45:00,15790.0
2019-03-17 14:00:00,5713.0
2019-03-17 14:15:00,28951.0
2019-03-17 14:30:00,32191.0
2019-03-17 14:45:00,14388.0
2019-03-17 15:00:00,14114.0
2019-03-17 15:15:00,12483.0
2019-03-17 15:30:00,8946.0
2019-03-17 15:45:00,8409.0
2019-03-17 16:00:00,2336.0
2019-03-17 16:15:00,4666.0
2019-03-17 16:30:00,14141.0
2019-03-17 16:45:00,5804.0
2019-03-17 17:00:00,17255.0
2019-03-17 17:15:00,6853.0
2019-03-17 17:30:00,10171.0
2019-03-17 17:45:00,6906.0
2019-03-17 18:00:00,4444.0
2019-03-17 18:15:00,3195.0
2019-03-17 18:30:00,4948.0
2019-03-17 18:45:00,10333.0
2019-03-17 19:00:00,11265.0
2019-03-17 19:15:00,10082.0
2019-03-17 19:30:00,14034.0
2019-03-17 19:45:00,8687.0
2019-03-17 20:00:00,6306.0
2019-03-17 20:15:00,4017.0
2019-03-17 20:30:00,3585.0
2019-03-17 20:45:00,21145.0
2019-03-17 21:00:00,23304.0
2019-03-17 21:15:00,6711.0
2019-03-17 21:30:00,19818.0
2019-03-17 21:45:00,18754.0
2019-03-17 22:00:00,18266.0
2019-03-17 22:15:00,10292.0
2019-03-17 22:30:00,8583.0
2019-03-17 22:45:00,5586.0
2019-03-17 23:00:00,3403.0
2019-03-17 23:15:00,3752.0
2019-03-17 23:30:00,6599.0
2019-03-17 23:45:00,3374.0
2019-03-18 00:00:00,2687.0
2019-03-18 00:15:00,2301.0
2019-03-18 00:30:00,2019.0
2019-03-18 00:45:00,3979.0
2019-03-18 01:00:00,1046.0
2019-03-18 01:15:00,5424.0
2019-03-18 01:30:00,5696.0
2019-03-18 01:45:00,1669.0
2019-03-18 02:00:00,1704.0
2019-03-18 02:15:00,603.0
2019-03-18 02:30:00,2650.0
2019-03-18 02:45:00,264.0
2019-03-18 03:00:00,308.0
2019-03-18 03:15:00,588.0
2019-03-18 03:30:00,5225.0
2019-03-18 03:45:00,752.0
2019-03-18 04:00:00,208.0
2019-03-18 04:15:00,414.0
2019-03-18 04:30:00,2803.0
2019-03-18 04:45:00,164.0
2019-03-18 05:00:00,128.0
2019-03-18 05:15:00,229.0
2019-03-18 05:30:00,192.0
2019-03-18 05:45:00,439.0
2019-03-18 06:00:00,886.0
2019-03-18 06:15:00,2104.0
2019-03-18 06:30:00,636.0
2019-03-18 06:45:00,2009.0
2019-03-18 07:00:00,1819.0
2019-03-18 07:15:00,2733.0
2019-03-18 07:30:00,5940.0
2019-03-18 07:45:00,3999.0
2019-03-18 08:00:00,5606.0
2019-03-18 08:15:00,13144.0
2019-03-18 08:30:00,12477.0
2019-03-18 08:45:00,9253.0
2019-03-18 09:00:00,6411.0
2019-03-18 09:15:00,2741.0
2019-03-18 09:30:00,939.0
2019-03-18 09:45:00,1168.0
2019-03-18 10:00:00,1248.0
2019-03-18 10:15:00,5632.0
2019-03-18 10:30:00,2676.0
2019-03-18 10:45:00,1541.0
2019-03-18 11:00:00,8523.0
2019-03-18 11:15:00,7527.0
2019-03-18 11:30:00,6264.0
2019-03-18 11:45:00,4834.0
2019-03-18 12:00:00,3780.0
2019-03-18 12:15:00,5597.0
2019-03-18 12:30:00,7706.0
2019-03-18 12:45:00,7090.0
2019-03-18 13:00:00,10545.0
2019-03-18 13:15:00,4359.0
2019-03-18 13:30:00,9571.0
2019-03-18 13:45:00,4993.0
2019-03-18 14:00:00,9180.0
2019-03-18 14:15:00,3744.0
2019-03-18 14:30:00,5043.0
2019-03-18 14:45:00,3367.0
2019-03-18 15:00:00,1481.0
2019-03-18 15:15:00,3717.0
2019-03-18 15:30:00,8051.0
2019-03-18 15:45:00,10003.0
2019-03-18 16:00:00,7069.0
2019-03-18 16:15:00,4653.0
2019-03-18 16:30:00,5340.0
2019-03-18 16:45:00,11365.0
2019-03-18 17:00:00,8114.0
2019-03-18 17:15:00,8112.0
2019-03-18 17:30:00,6969.0
2019-03-18 17:45:00,10237.0
2019-03-18 18:00:00,4794.0
2019-03-18 18:15:00,10555.0
2019-03-18 18:30:00,11948.0
2019-03-18 18:45:00,4914.0
2019-03-18 19:00:00,8115.0
2019-03-18 19:15:00,14290.0
2019-03-18 19:30:00,9171.0
2019-03-18 19:45:00,7951.0
2019-03-18 20:00:00,8482.0
2019-03-18 20:15:00,10694.0
2019-03-18 20:30:00,11562.0
2019-03-18 20:45:00,4307.0
2019-03-18 21:00:00,10786.0
2019-03-18 21:15:00,10680.0
2019-03-18 21:30:00,8409.0
2019-03-18 21:45:00,10032.0
2019-03-18 22:00:00,10611.0
2019-03-18 22:15:00,21856.0
2019-03-18 22:30:00,3623.0
2019-03-18 22:45:00,2799.0
2019-03-18 23:00:00,4504.0
2019-03-18 23:15:00,7731.0
2019-03-18 23:30:00,14014.0
2019-03-18 23:45:00,6747.0
2019-03-19 00:00:00,3887.0
2019-03-19 00:15:00,2910.0
2019-03-19 00:30:00,2953.0
2019-03-19 00:45:00,1492.0
2019-03-19 01:00:00,2842.0
2019-03-19 01:15:00,5550.0
2019-03-19 01:30:00,8905.0
2019-03-19 01:45:00,8520.0
2019-03-19 02:00:00,15744.0
2019-03-19 02:15:00,1415.0
