,Traffic
2019-03-16 00:00:00,17568.0
2019-03-16 00:15:00,16731.0
2019-03-16 00:30:00,7406.0
2019-03-16 00:45:00,13683.0
2019-03-16 01:00:00,11758.0
2019-03-16 01:15:00,4222.0
2019-03-16 01:30:00,6164.0
2019-03-16 01:45:00,2587.0
2019-03-16 02:00:00,2435.0
2019-03-16 02:15:00,3859.0
2019-03-16 02:30:00,12310.0
2019-03-16 02:45:00,24221.0
2019-03-16 03:00:00,42572.0
2019-03-16 03:15:00,14310.0
2019-03-16 03:30:00,6979.0
2019-03-16 03:45:00,4120.0
2019-03-16 04:00:00,9578.0
2019-03-16 04:15:00,3708.0
2019-03-16 04:30:00,2985.0
2019-03-16 04:45:00,472.0
2019-03-16 05:00:00,544.0
2019-03-16 05:15:00,1768.0
2019-03-16 05:30:00,2394.0
2019-03-16 05:45:00,1580.0
2019-03-16 06:00:00,917.0
2019-03-16 06:15:00,1403.0
2019-03-16 06:30:00,4318.0
2019-03-16 06:45:00,28323.0
2019-03-16 07:00:00,4775.0
2019-03-16 07:15:00,6830.0
2019-03-16 07:30:00,7606.0
2019-03-16 07:45:00,4539.0
2019-03-16 08:00:00,21280.0
2019-03-16 08:15:00,43005.0
2019-03-16 08:30:00,37588.0
2019-03-16 08:45:00,45376.0
2019-03-16 09:00:00,25121.0
2019-03-16 09:15:00,38394.0
2019-03-16 09:30:00,22202.0
2019-03-16 09:45:00,10847.0
2019-03-16 10:00:00,7741.0
2019-03-16 10:15:00,22229.0
2019-03-16 10:30:00,22070.0
2019-03-16 10:45:00,34172.0
2019-03-16 11:00:00,18363.0
2019-03-16 11:15:00,9078.0
2019-03-16 11:30:00,9608.0
2019-03-16 11:45:00,12614.0
2019-03-16 12:00:00,11492.0
2019-03-16 12:15:00,21689.0
2019-03-16 12:30:00,27484.0
2019-03-16 12:45:00,15119.0
2019-03-16 13:00:00,11670.0
2019-03-16 13:15:00,5554.0
2019-03-16 13:30:00,11334.0
2019-03-16 13:45:00,13927.0
2019-03-16 14:00:00,14794.0
2019-03-16 14:15:00,42136.0
2019-03-16 14:30:00,37446.0
2019-03-16 14:45:00,33368.0
2019-03-16 15:00:00,12325.0
2019-03-16 15:15:00,29961.0
2019-03-16 15:30:00,31434.0
2019-03-16 15:45:00,29066.0
2019-03-16 16:00:00,15395.0
2019-03-16 16:15:00,11097.0
2019-03-16 16:30:00,16118.0
2019-03-16 16:45:00,27068.0
2019-03-16 17:00:00,26876.0
2019-03-16 17:15:00,16178.0
2019-03-16 17:30:00,19501.0
2019-03-16 17:45:00,79411.0
2019-03-16 18:00:00,25712.0
2019-03-16 18:15:00,18715.0
2019-03-16 18:30:00,22408.0
2019-03-16 18:45:00,48798.0
2019-03-16 19:00:00,16632.0
2019-03-16 19:15:00,34134.0
2019-03-16 19:30:00,80976.0
2019-03-16 19:45:00,48572.0
2019-03-16 20:00:00,97739.0
2019-03-16 20:15:00,63789.0
2019-03-16 20:30:00,31327.0
2019-03-16 20:45:00,29577.0
2019-03-16 21:00:00,47678.0
2019-03-16 21:15:00,24446.0
2019-03-16 21:30:00,51062.0
2019-03-16 21:45:00,49056.0
2019-03-16 22:00:00,39421.0
2019-03-16 22:15:00,58126.0
2019-03-16 22:30:00,77239.0
2019-03-16 22:45:00,24778.0
2019-03-16 23:00:00,36908.0
2019-03-16 23:15:00,24316.0
2019-03-16 23:30:00,38798.0
2019-03-16 23:45:00,15891.0
2019-03-17 00:00:00,6567.0
2019-03-17 00:15:00,13652.0
2019-03-17 00:30:00,30693.0
2019-03-17 00:45:00,20831.0
2019-03-17 01:00:00,21000.0
2019-03-17 01:15:00,40562.0
2019-03-17 01:30:00,26943.0
2019-03-17 01:45:00,22657.0
2019-03-17 02:00:00,25174.0
2019-03-17 02:15:00,11094.0
2019-03-17 02:30:00,13739.0
2019-03-17 02:45:00,39021.0
2019-03-17 03:00:00,7836.0
2019-03-17 03:15:00,18757.0
2019-03-17 03:30:00,15994.0
2019-03-17 03:45:00,11122.0
2019-03-17 04:00:00,49380.0
2019-03-17 04:15:00,30971.0
2019-03-17 04:30:00,11793.0
2019-03-17 04:45:00,6549.0
2019-03-17 05:00:00,10573.0
2019-03-17 05:15:00,12875.0
2019-03-17 05:30:00,9674.0
2019-03-17 05:45:00,560.0
2019-03-17 06:00:00,25469.0
2019-03-17 06:15:00,2154.0
2019-03-17 06:30:00,4387.0
2019-03-17 06:45:00,2484.0
2019-03-17 07:00:00,7985.0
2019-03-17 07:15:00,3440.0
2019-03-17 07:30:00,2715.0
2019-03-17 07:45:00,3013.0
2019-03-17 08:00:00,1850.0
2019-03-17 08:15:00,7465.0
2019-03-17 08:30:00,3354.0
2019-03-17 08:45:00,5380.0
2019-03-17 09:00:00,15207.0
2019-03-17 09:15:00,5773.0
2019-03-17 09:30:00,8439.0
2019-03-17 09:45:00,19536.0
2019-03-17 10:00:00,20316.0
2019-03-17 10:15:00,47232.0
2019-03-17 10:30:00,17771.0
2019-03-17 10:45:00,9992.0
2019-03-17 11:00:00,49930.0
2019-03-17 11:15:00,61633.0
2019-03-17 11:30:00,88767.0
2019-03-17 11:45:00,56538.0
2019-03-17 12:00:00,32284.0
2019-03-17 12:15:00,50803.0
2019-03-17 12:30:00,36350.0
2019-03-17 12:45:00,56902.0
2019-03-17 13:00:00,43157.0
2019-03-17 13:15:00,46559.0
2019-03-17 13:30:00,69783.0
2019-03-17 13:45:00,31552.0
2019-03-17 14:00:00,20589.0
2019-03-17 14:15:00,30901.0
2019-03-17 14:30:00,38737.0
2019-03-17 14:45:00,15718.0
2019-03-17 15:00:00,51279.0
2019-03-17 15:15:00,100003.0
2019-03-17 15:30:00,46887.0
2019-03-17 15:45:00,19477.0
2019-03-17 16:00:00,24420.0
2019-03-17 16:15:00,38951.0
2019-03-17 16:30:00,52132.0
2019-03-17 16:45:00,31489.0
2019-03-17 17:00:00,47849.0
2019-03-17 17:15:00,39733.0
2019-03-17 17:30:00,25284.0
2019-03-17 17:45:00,33410.0
2019-03-17 18:00:00,41064.0
2019-03-17 18:15:00,33833.0
2019-03-17 18:30:00,19609.0
2019-03-17 18:45:00,50705.0
2019-03-17 19:00:00,47578.0
2019-03-17 19:15:00,36283.0
2019-03-17 19:30:00,17304.0
2019-03-17 19:45:00,32033.0
2019-03-17 20:00:00,15320.0
2019-03-17 20:15:00,26469.0
2019-03-17 20:30:00,34001.0
2019-03-17 20:45:00,31201.0
2019-03-17 21:00:00,32295.0
2019-03-17 21:15:00,52883.0
2019-03-17 21:30:00,192687.0
2019-03-17 21:45:00,89667.0
2019-03-17 22:00:00,45890.0
2019-03-17 22:15:00,66611.0
2019-03-17 22:30:00,39411.0
2019-03-17 22:45:00,93057.0
2019-03-17 23:00:00,80492.0
2019-03-17 23:15:00,94336.0
2019-03-17 23:30:00,24424.0
2019-03-17 23:45:00,15463.0
2019-03-18 00:00:00,9286.0
2019-03-18 00:15:00,12531.0
2019-03-18 00:30:00,14415.0
2019-03-18 00:45:00,27363.0
2019-03-18 01:00:00,17815.0
2019-03-18 01:15:00,16742.0
2019-03-18 01:30:00,4388.0
2019-03-18 01:45:00,15929.0
2019-03-18 02:00:00,1210.0
2019-03-18 02:15:00,1327.0
2019-03-18 02:30:00,2751.0
2019-03-18 02:45:00,3175.0
